period_end,net_sales,cost_of_sales,gross_profit,operating_income,financial_expenses,financial_income,net_income,cash,inventories,current_assets,total_assets,current_liabilities,equity,financial_debt_approx,gross_margin,operating_margin,net_margin,cost_of_sales_to_sales,financial_expense_to_sales,financial_expense_to_gross_profit,current_ratio,cash_to_current_liabilities,inventory_to_current_assets,financial_debt_to_assets,financial_debt_to_equity,operating_income_to_financial_expense
2022-06-30,175775000.0,-123540000.0,52235000.0,31072000.0,2181000.0,424000.0,26770000.0,75994000.0,108926000.0,324222000.0,819581000.0,175709000.0,379464000.0,192673000.0,0.2971696771440762,0.17677144076233822,0.15229697055895322,0.7028303228559237,0.012407907836723084,0.04175361347755337,1.8452213603173429,0.4324991889999943,0.3359611624134081,0.23508719699456185,0.5077504058355997,14.246675836772123
2022-09-30,155469000.0,-108525000.0,46944000.0,25369000.0,,2478000.0,16301000.0,75059000.0,126638000.0,347655000.0,826744000.0,180980000.0,393245000.0,187775000.0,0.3019508712347799,0.16317722504164817,0.10485048466253723,0.6980491287652201,,,1.9209581169189966,0.4147364349651895,0.36426342207073104,0.227125930154921,0.4775013032587827,
2022-12-31,135904000.0,-130726000.0,5178000.0,-21263000.0,7423000.0,980000.0,-41731000.0,109219000.0,123285000.0,375715000.0,820323000.0,224260000.0,349234000.0,203914000.0,0.03810042382858488,-0.15645602778431833,-0.3070623381210266,0.9618995761714151,0.054619437249823405,1.4335650830436462,1.6753544992419513,0.487019530901632,0.3281343571590168,0.24857769439598792,0.5838893120372014,-2.8644752795365753
2023-03-31,115952000.0,-95389000.0,20563000.0,1499000.0,14709000.0,803000.0,-12464000.0,107466000.0,117711000.0,346322000.0,784471000.0,207237000.0,335465000.0,188099000.0,0.17734062370636125,0.012927763212363736,-0.10749275562301643,0.8226593762936387,0.1268542155374638,0.7153139133394932,1.6711398061157032,0.5185657001404189,0.3398888895305525,0.23977814348777712,0.560711251546361,0.1019103949962608
2023-06-30,85805000.0,-73920000.0,11885000.0,-4116000.0,19348000.0,2221000.0,-19387000.0,78506000.0,131658000.0,306222000.0,749312000.0,221086000.0,293199000.0,200182000.0,0.13851174173999184,-0.047969232562205,-0.22594254414078432,0.8614882582600082,0.2254880251733582,1.6279343710559528,1.3850809187375048,0.35509258840451224,0.4299429825420773,0.2671544029723266,0.6827513054273718,-0.21273516642547033
2023-09-30,86359000.0,-74940000.0,11419000.0,-5495000.0,5093000.0,2139000.0,-9802000.0,71795000.0,111212000.0,285152000.0,731108000.0,221889000.0,282017000.0,203294000.0,0.13222709850739356,-0.06362973170138607,-0.11350293542074363,0.8677729014926064,0.05897474495999259,0.446011034241177,1.2851110239804586,0.3235626822420219,0.3900095387723039,0.27806288537398033,0.7208572532861495,-1.0789318672688004
2023-12-31,77281000.0,-71678000.0,5603000.0,-5960000.0,22376000.0,3805000.0,2606000.0,67911000.0,108217000.0,282812000.0,725883000.0,247037000.0,287638000.0,214063000.0,0.07250164982337184,-0.07712115526455403,0.03372109574151473,0.9274983501766282,0.2895407668120237,3.993574870605033,1.1448163635406843,0.2749021401652384,0.38264642235831575,0.29490014230943556,0.7442097358485318,-0.266356810868788
2024-03-31,76118000.0,-64061000.0,12057000.0,-465000.0,12989000.0,780000.0,-12698000.0,62629000.0,98530000.0,272145000.0,712858000.0,252033000.0,274270000.0,206972000.0,0.15839880186026958,-0.006108936125489372,-0.16681993746551407,0.8416011981397304,0.17064294910533645,1.077299494069835,1.0797990739307948,0.24849523673487203,0.3620496426537324,0.2903411338583561,0.7546286505997739,-0.03579952267303103
2024-06-30,72926000.0,-59665000.0,13261000.0,158000.0,3771000.0,9299000.0,5459000.0,45155000.0,107406000.0,249673000.0,683764000.0,230885000.0,278368000.0,187663000.0,0.18184186709815428,0.002166579820640101,0.07485670405616653,0.8181581329018457,0.05170995255464443,0.2843676947439861,1.0813738441215324,0.19557355393377657,0.4301866841829112,0.27445580638933903,0.6741543568226233,0.041898700609917794
2024-09-30,89643000.0,-70976000.0,18667000.0,2707000.0,7045000.0,8775000.0,4323000.0,41448000.0,106274000.0,246069000.0,676549000.0,229671000.0,281486000.0,172376000.0,0.20823711834722175,0.0301975614381491,0.04822462434322814,0.7917628816527782,0.07858951619200606,0.3774039749290191,1.071397782044751,0.18046684169964863,0.4318869910472266,0.2547871624967297,0.6123785907647272,0.3842441447835344
2024-12-31,74185000.0,-57511000.0,16674000.0,2862000.0,8075000.0,2322000.0,-9299000.0,44603000.0,110939000.0,236498000.0,655669000.0,135767000.0,273514000.0,196110000.0,0.22476241827862775,0.03857922760665903,-0.12534879018669542,0.7752375817213722,0.1088494978769293,0.4842869137579465,1.741940235845235,0.3285260777655837,0.46909064770103764,0.2990990881069564,0.7170016891274305,0.35442724458204333
2025-03-31,80135000.0,-67449000.0,12686000.0,-1084000.0,7654000.0,1106000.0,-7447000.0,38533000.0,102996000.0,225800000.0,642491000.0,130435000.0,267072000.0,193027000.0,0.15830785549385412,-0.01352717289573844,-0.09293067947838023,0.8416921445061459,0.09551382042802771,0.6033422670660571,1.7311304481159198,0.29541917430137615,0.4561381753764393,0.30043533683740314,0.7227526659477594,-0.1416252939639404
2025-06-30,82719000.0,-70414000.0,12305000.0,-1051000.0,14377000.0,334000.0,-15285000.0,39496000.0,104498000.0,237778000.0,655261000.0,148919000.0,253578000.0,199732000.0,0.14875663390514876,-0.012705666171012705,-0.18478221448518478,0.8512433660948513,0.1738052926171738,1.1683868346200732,1.5966935045225927,0.2652180044185094,0.43947715936714077,0.3048128913516904,0.787655080488055,-0.07310287264380608
2025-09-30,78388000.0,-63394000.0,14994000.0,120000.0,11025000.0,552000.0,-10668000.0,36334000.0,107969000.0,242065000.0,653772000.0,156763000.0,242638000.0,199654000.0,0.19127927744042456,0.0015308465581466552,-0.13609225901923763,0.8087207225595755,0.14064652752972392,0.7352941176470589,1.5441462590024433,0.231776630965215,0.44603309028566707,0.3053878110411581,0.822847204477452,0.010884353741496598
2025-12-31,81504000.0,-70052000.0,11452000.0,-2079000.0,9437000.0,830000.0,-4567000.0,26952000.0,107299000.0,219097000.0,636658000.0,155168000.0,235272000.0,197785000.0,0.1405084413034943,-0.025507950530035337,-0.05603405967805261,0.8594915586965057,0.11578572830781311,0.8240482011875655,1.411998607960404,0.17369560734171993,0.48973285804917455,0.31066129696006334,0.8406652725356184,-0.2203030624139027
